time_tick,accr_X_value,accr_Y_value,accr_Z_value
18.537731,3.051686,4.020788,0.000000
18.571060,2.996115,3.973493,0.000000
18.604392,2.990576,3.910726,0.000000
18.637776,3.033709,3.964559,0.000000
18.671129,3.074369,3.969639,0.000000
18.704393,3.021100,3.939764,0.000000
18.737741,3.059684,3.918346,0.000000
18.771107,3.024187,3.931617,0.000000
18.804440,3.068167,3.926933,0.000000
18.837749,3.051235,3.954382,0.000000
18.871093,3.027111,3.932456,0.000000
18.904451,3.016654,3.921512,0.000000
18.937732,3.040853,3.960261,0.000000
18.971044,3.047594,3.916899,0.000000
19.004418,3.063898,3.929997,0.000000
19.037562,3.047021,3.923480,0.000000
19.070716,3.023416,3.924184,0.000000
19.104401,3.004619,3.940901,0.000000
19.137713,2.986860,3.948066,0.000000
19.171060,3.028832,3.948807,0.000000
19.204447,3.063420,4.012897,0.000000
19.237743,3.051747,3.943432,0.000000
19.271067,3.019386,3.951633,0.000000
19.304399,3.018081,3.944370,0.000000
19.337717,2.995419,3.952379,0.000000
19.371054,2.970659,3.932850,0.000000
19.404393,3.062389,3.985755,0.000000
19.437715,3.048168,3.887989,0.000000
19.471109,3.005520,3.996368,0.000000
19.504414,3.012651,4.039854,0.000000
19.537726,3.017337,3.968179,0.000000
19.571079,2.960455,3.931717,0.000000
19.604404,3.010049,3.997795,0.000000
19.637772,3.086287,4.010565,0.000000
19.671040,3.052847,3.947124,0.000000
19.704392,3.037349,3.903959,0.000000
19.737739,3.026182,3.939613,0.000000
19.771113,3.039111,3.983971,0.000000
19.804389,3.010431,3.958415,0.000000
19.837794,2.963324,3.927716,0.000000
19.871062,2.964854,3.890248,0.000000
19.904400,2.999838,3.941537,0.000000
19.937734,3.047629,3.968268,0.000000
19.971064,3.043927,3.958871,0.000000
20.003559,3.015363,3.952248,0.000000
20.037716,3.035812,3.982115,0.000000
20.071069,3.056583,4.022991,0.000000
20.104388,3.004619,3.973641,0.000000
20.137785,2.997556,3.955030,0.000000
20.171044,2.968979,3.945830,0.000000
20.204377,2.941412,3.919415,0.000000
20.237731,3.039678,4.043788,0.000000
20.271064,3.069478,3.940219,0.000000
20.304436,3.025123,3.982522,0.000000
20.337736,3.032022,4.123530,0.000000
20.370883,3.084273,4.038636,0.000000
20.404393,2.983800,3.937423,0.000000
20.437732,3.028531,3.951190,0.000000
20.471111,3.096048,3.998523,0.000000
20.504389,3.105118,3.900048,0.000000
20.537722,3.065394,3.926152,0.000000
20.571062,2.985522,3.991306,0.000000
20.604390,2.936679,4.003297,0.000000
20.637731,2.889339,4.038969,0.000000
20.671066,2.920676,3.983047,0.000000
20.704395,2.989442,3.953255,0.000000
20.737738,3.031796,3.998539,0.000000
20.771080,3.059725,4.025332,0.000000
20.804408,3.033702,3.965851,0.000000
20.838127,2.978056,3.936680,0.000000
20.871046,2.966438,3.939495,0.000000
20.904393,2.964560,3.945090,0.000000
20.937725,3.015923,4.015130,0.000000
