Time_stamp,Milliseconds,X,Y,Z,Profile,Activity
1/9/2020 19:06,23.504,-0.2871399,5.654236,7.9082794,AR,sitting
1/9/2020 19:06,23.601,-0.31106567,5.7834473,8.080566,AR,sitting
1/9/2020 19:06,23.701,-0.34695435,5.6757812,8.173889,AR,sitting
1/9/2020 19:06,23.802,-0.42352295,5.60878,8.049454,AR,sitting
1/9/2020 19:06,23.901,-0.28474426,5.6638184,8.355743,AR,sitting
1/9/2020 19:06,24.001,-0.22013855,5.6351013,7.9465637,AR,sitting
1/9/2020 19:06,24.101,-0.30389404,5.6614227,8.405991,AR,sitting
1/9/2020 19:06,24.201,-0.117248535,5.1828613,8.0327,AR,sitting
1/9/2020 19:06,24.301,-0.25602722,5.6805573,8.281555,AR,sitting
1/9/2020 19:06,24.402,0.086135864,5.481964,8.276779,AR,sitting
1/9/2020 19:06,24.501,-0.3254242,5.6805573,8.17627,AR,sitting
1/9/2020 19:06,24.601,-0.19142151,5.637497,8.1427765,AR,sitting
1/9/2020 19:06,24.701,-0.2536316,5.7188416,8.061417,AR,sitting
1/9/2020 19:06,24.801,-0.15553284,5.601593,8.293518,AR,sitting
1/9/2020 19:06,24.901,-0.16270447,5.6327057,8.166702,AR,sitting
1/9/2020 19:06,25.001,-0.114852905,5.5369873,8.082962,AR,sitting
1/9/2020 19:06,25.101,-0.41156006,5.687744,8.099701,AR,sitting
1/9/2020 19:06,25.201,-0.39720154,5.75235,7.9178467,AR,sitting
1/9/2020 19:06,25.303,-0.3254242,5.6973114,8.169098,AR,sitting
1/9/2020 19:06,25.401,-0.19381714,5.7308044,8.128418,AR,sitting
1/9/2020 19:06,25.501,-0.17706299,5.6566315,8.164307,AR,sitting
1/9/2020 19:06,25.601,0.13639832,5.25943,8.130814,AR,sitting
1/9/2020 19:06,25.701,-0.2536316,5.704483,7.9537354,AR,sitting
1/9/2020 19:06,25.802,-0.39959717,6.0849457,6.077774,AR,sitting
1/9/2020 19:06,25.901,-0.5383911,5.8217316,8.324631,AR,sitting
1/9/2020 19:06,26.001,-0.98106384,5.9150543,8.252853,AR,sitting
1/9/2020 19:06,26.102,-0.49771118,5.5992126,8.183456,AR,sitting
1/9/2020 19:06,26.201,-0.63409424,5.6398773,8.099701,AR,sitting
1/9/2020 19:06,26.301,-0.59820557,5.6159515,8.152344,AR,sitting
1/9/2020 19:06,26.401,-0.80158997,5.740387,7.9944153,AR,sitting
1/9/2020 19:06,26.501,-1.0935211,5.781067,8.616562,AR,sitting
1/9/2020 19:06,26.601,-0.68434143,5.5010986,8.109283,AR,sitting
1/9/2020 19:06,26.702,-1.0073853,5.69014,8.405991,AR,sitting
1/9/2020 19:06,26.801,-0.82073975,5.7140656,8.099701,AR,sitting
1/9/2020 19:06,26.901,-1.0456696,5.8408813,8.487335,AR,sitting
1/9/2020 19:06,27.001,-0.22970581,5.30249,8.264816,AR,sitting
1/9/2020 19:06,27.101,-0.62213135,5.7690887,7.9944153,AR,sitting
1/9/2020 19:06,27.202,-0.6077728,5.642273,8.051849,AR,sitting
