ts,Seconds,X,Y,Z,profile,Activity,
1/8/2020 17:09,0.099,-1.8879395,6.5395813,7.5756836,AR,laying,
1/8/2020 17:09,0.101,-2.1296082,6.546768,6.972687,AR,laying,
1/8/2020 17:09,0.099,-1.5337982,6.0849457,7.5756836,AR,laying,
1/8/2020 17:09,0.1,-4.0055847,7.4488525,2.622528,AR,laying,
1/8/2020 17:09,0.101,-3.8452606,6.833908,5.785843,AR,laying,
1/8/2020 17:09,0.099,-3.0388794,6.6400757,7.1641083,AR,laying,
1/8/2020 17:09,0.1,-0.6771698,5.659027,8.374878,AR,laying,
1/8/2020 17:09,0.1,-0.5934143,5.8911285,7.9992065,AR,laying,
1/8/2020 17:09,0.101,0.50727844,5.6853485,7.1856537,AR,laying,
1/8/2020 17:09,0.099,0.7537384,5.5130615,8.432312,AR,laying,
1/8/2020 17:09,0.1,0.4737854,5.659027,7.721634,AR,laying,
1/8/2020 17:09,0.1,0.38523865,5.1541443,7.8675995,AR,laying,
1/8/2020 17:09,0.101,-1.5481567,6.6089783,8.154739,AR,laying,
1/8/2020 17:09,0.1,-0.5264282,5.749954,8.441879,AR,laying,
1/8/2020 17:09,0.099,0.71066284,5.556137,7.853241,AR,laying,
1/8/2020 17:09,0.101,0.007171631,5.6805573,8.193024,AR,laying,
1/8/2020 17:09,0.099,0,5.6614227,8.126022,AR,laying,
1/8/2020 17:09,0.1,0.17228699,5.6351013,8.137985,AR,laying,
1/8/2020 17:09,0.1,0.047851562,5.5585327,8.271988,AR,laying,
1/8/2020 17:09,0.101,0.011962891,5.515457,8.276779,AR,laying,
1/8/2020 17:09,0.099,0.23928833,5.647064,7.680954,AR,laying,
1/8/2020 17:09,0.1,-0.17468262,5.572891,8.394028,AR,laying,
1/8/2020 17:09,0.101,0.34217834,5.5633087,8.157135,AR,laying,
1/8/2020 17:09,0.099,-0.021530151,5.5585327,8.221741,AR,laying,
1/8/2020 17:09,0.101,-0.007171631,5.613556,8.181061,AR,laying,
